PRIORITY,FW_SEGMENT,FW_NAME,FW_TYPE,DAYS_STALE,DEVICE_COLLECTION_DATE,CANONICAL_LOCATION,SITE_CODE,HERITAGE,CONFIG_FILE
HIGH,INTERCOMPANY,cae-fw-qasvc-pa-b,PA,132,2026-04-23,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,cae-fw-qasvc-pa-b_20260423_072711.config
HIGH,INTERCOMPANY,cmc-fw-hubprodglr-1,PA,132,2026-04-23,Cumberland RI - 2100 Highland,US_CUR_RI_DC,CVS,cmc-fw-hubprodglr-1_20260423_075620.config
HIGH,INTERCOMPANY,cmc-fw-hubprodglr-2,PA,132,2026-04-23,Cumberland RI - 2100 Highland,US_CUR_RI_DC,CVS,cmc-fw-hubprodglr-2_20260423_065713.config
HIGH,INTERCOMPANY,cme-fw-hubprodglr-1,PA,132,2026-04-23,Cumberland RI - 2100 Highland,US_CUR_RI_DC,CVS,cme-fw-hubprodglr-1_20260423_062726.config
HIGH,INTERCOMPANY,cme-fw-hubprodglr-2,PA,132,2026-04-23,Cumberland RI - 2100 Highland,US_CUR_RI_DC,CVS,cme-fw-hubprodglr-2_20260423_062647.config
HIGH,INTERCOMPANY,cme-fw-hubprodglr-4,PA,132,2026-04-23,Cumberland RI - 2100 Highland,US_CUR_RI_DC,CVS,cme-fw-hubprodglr-4_20260423_081131.config
HIGH,INTERCOMPANY,cme-fw-nonprodglr-1,PA,132,2026-04-23,Cumberland RI - 2100 Highland,US_CUR_RI_DC,CVS,cme-fw-nonprodglr-1_20260423_080039.config
HIGH,INTERCOMPANY,cme-fw-nonprodglr-2,PA,132,2026-04-23,Cumberland RI - 2100 Highland,US_CUR_RI_DC,CVS,cme-fw-nonprodglr-2_20260423_074825.config
HIGH,RETAIL-SDWAN,lgs1501-01b-0104-ext-pa-fw01,PA,132,2026-04-23,Las Vegas NV - Switch COLO,US_LVG_NV_CI,,lgs1501-01b-0104-ext-pa-fw01_20260423_060452.config
HIGH,RETAIL-SDWAN,lgs1501-01b-0105-ext-dmz-pa-fw01,PA,132,2026-04-23,Las Vegas NV - Switch COLO,US_LVG_NV_CI,,lgs1501-01b-0105-ext-dmz-pa-fw01_20260423_075510.config
HIGH,RETAIL-SDWAN,lgs1502-10c-0104-ext-pa-fw02,PA,132,2026-04-23,Las Vegas NV - Switch COLO,US_LVG_NV_CI,,lgs1502-10c-0104-ext-pa-fw02_20260423_074349.config
HIGH,RETAIL-SDWAN,lgs1502-10c-0105-ext-dmz-pa-fw02,PA,132,2026-04-23,Las Vegas NV - Switch COLO,US_LVG_NV_CI,,lgs1502-10c-0105-ext-dmz-pa-fw02_20260423_062735.config
HIGH,INTERNAL-DC,mid-fw-clouddmz-pa-a,PA,132,2026-04-23,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-fw-clouddmz-pa-a_20260423_081010.config
HIGH,INTERNAL-DC,mid-fw-clouddmz-pa-b,PA,132,2026-04-23,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-fw-clouddmz-pa-b_20260423_065048.config
HIGH,INTERNAL-DC,mid-fw-dmz-pa-a,PA,132,2026-04-23,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-fw-dmz-pa-a_20260423_065611.config
HIGH,INTERNAL-DC,mid-fw-dmz-pa-b,PA,132,2026-04-23,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-fw-dmz-pa-b_20260423_075751.config
HIGH,EGRESS,mid-fw-glr-pa-a,PA,132,2026-04-23,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-fw-glr-pa-a_20260423_075618.config
HIGH,EGRESS,mid-fw-glr-pa-b,PA,132,2026-04-23,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-fw-glr-pa-b_20260423_060948.config
HIGH,INTERNAL-DC,mid-fw-officeext-pa-a,PA,132,2026-04-23,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-fw-officeext-pa-a_20260423_065612.config
HIGH,INTERNAL-DC,mid-fw-officeext-pa-b,PA,132,2026-04-23,Middletown CT - Aetna MDC,US_MIC_CT_DC,AETNA,mid-fw-officeext-pa-b_20260423_063544.config
HIGH,INTERNAL-DC,mid-fw-qadmz-pa-a,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,mid-fw-qadmz-pa-a_20260423_060802.config
HIGH,INTERNAL-DC,mid-fw-qadmz-pa-b,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,mid-fw-qadmz-pa-b_20260423_071113.config
HIGH,INTERNAL-DC,win-fw-clouddmz-pa-a,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,win-fw-clouddmz-pa-a_20260423_072717.config
HIGH,INTERNAL-DC,win-fw-clouddmz-pa-b,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,win-fw-clouddmz-pa-b_20260423_072316.config
HIGH,INTERNAL-DC,win-fw-dmz-pa-a,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,win-fw-dmz-pa-a_20260423_080214.config
HIGH,INTERNAL-DC,win-fw-dmz-pa-b,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,win-fw-dmz-pa-b_20260423_060223.config
HIGH,EGRESS,win-fw-glr-pa-a,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,win-fw-glr-pa-a_20260423_080524.config
HIGH,EGRESS,win-fw-glr-pa-b,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,win-fw-glr-pa-b_20260423_080440.config
HIGH,INTERNAL-DC,win-fw-officeext-pa-a,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,win-fw-officeext-pa-a_20260423_060156.config
HIGH,INTERNAL-DC,win-fw-officeext-pa-b,PA,132,2026-04-23,Windsor CT - Aetna WDC,US_WIN_CT_DC,AETNA,win-fw-officeext-pa-b_20260423_060123.config
HIGH,B2B-VPN,PAZSHDC-SEC-EXXT-VPN-01XAact,ASA,99,2026-05-26,,,,PAZSHDC-SEC-EXXT-VPN-01XAact_20260526_070413.config
HIGH,B2B-VPN,PAZSHDC-SEC-EXXT-VPN-01XAstby,ASA,99,2026-05-26,,,,PAZSHDC-SEC-EXXT-VPN-01XAstby_20260526_072016.config
HIGH,RETAIL-SDWAN,PRIWSDRSECEXXTADMVPN-01XAactNoFailover,ASA,99,2026-05-26,,,,PRIWSDRSECEXXTADMVPN-01XAactNoFailover_20260526_061540.config
HIGH,B2B-VPN,RRIWSDC-SEC-EXXT-VPN-01XAact,ASA,99,2026-05-26,,,,RRIWSDC-SEC-EXXT-VPN-01XAact_20260526_061934.config
HIGH,B2B-VPN,RRIWSDC-SEC-EXXT-VPN-01XAstby,ASA,99,2026-05-26,,,,RRIWSDC-SEC-EXXT-VPN-01XAstby_20260526_062755.config
HIGH,RA-VPN,RRIWSDC-SEC-INT-VPN-01XAact,ASA,99,2026-05-26,Woonsocket RI - RI One,US_WOR_RI_DC,CVS,RRIWSDC-SEC-INT-VPN-01XAact_20260526_062445.config
HIGH,RA-VPN,RRIWSDC-SEC-INT-VPN-01XAstby,ASA,99,2026-05-26,Woonsocket RI - RI One,US_WOR_RI_DC,CVS,RRIWSDC-SEC-INT-VPN-01XAstby_20260526_064433.config
HIGH,RA-VPN,RRIWSDCSECEXXTEMPVPN-04XAactNoFailover,ASA,99,2026-05-26,,,,RRIWSDCSECEXXTEMPVPN-04XAactNoFailover_20260526_070200.config
HIGH,RA-VPN,pazshdcsecextempvpn-01v,ASA,99,2026-05-26,Scottsdale AZ - Shea DC,US_SCO_AZ_DC,CVS,pazshdcsecextempvpn-01v_20260526_065601.config
HIGH,RA-VPN,pazshdcsecextempvpn-02v,ASA,99,2026-05-26,Scottsdale AZ - Shea DC,US_SCO_AZ_DC,CVS,pazshdcsecextempvpn-02v_20260526_063750.config
HIGH,RA-VPN,pazshdcsecextempvpn-03v,ASA,99,2026-05-26,Scottsdale AZ - Shea DC,US_SCO_AZ_DC,CVS,pazshdcsecextempvpn-03v_20260526_065005.config
HIGH,RETAIL-SDWAN,pazshdcsecextrs-1XADMVPNXAact,ASA,99,2026-05-26,,,,pazshdcsecextrs-1XADMVPNXAact_20260526_074538.config
HIGH,RETAIL-SDWAN,pazshdcsecextrs-1XADMVPNXAstby,ASA,99,2026-05-26,,,,pazshdcsecextrs-1XADMVPNXAstby_20260526_064043.config
HIGH,RETAIL-SDWAN,rricmcpsecextrs-1XADMVPNXAact,ASA,99,2026-05-26,,,,rricmcpsecextrs-1XADMVPNXAact_20260526_061221.config
HIGH,RETAIL-SDWAN,rricmcpsecextrs-1XADMVPNXAstby,ASA,99,2026-05-26,,,,rricmcpsecextrs-1XADMVPNXAstby_20260526_061614.config
HIGH,RA-VPN,rriwsdcsecextempvpn-01vXANoFailover,ASA,99,2026-05-26,Woonsocket RI - RI One,US_WOR_RI_DC,CVS,rriwsdcsecextempvpn-01vXANoFailover_20260526_070711.config
HIGH,RA-VPN,rriwsdcsecextempvpn-02vXANoFailover,ASA,99,2026-05-26,Woonsocket RI - RI One,US_WOR_RI_DC,CVS,rriwsdcsecextempvpn-02vXANoFailover_20260526_070228.config
HIGH,RA-VPN,rriwsdcsecextempvpn-03vXANoFailover,ASA,99,2026-05-26,Woonsocket RI - RI One,US_WOR_RI_DC,CVS,rriwsdcsecextempvpn-03vXANoFailover_20260526_073435.config
